EMP_ID,ANNUAL_RATE,HRLY_RATE,JOB_SATISFACTION,NUMBER_OF_TEAM_CHANGED,HIRE_MONTH,REHIRE,IS_FIRST_JOB,TRAVELLED_REQUIRED,PERFORMANCE_RATING,DISABLED_EMP,DISABLED_VET,EDUCATION_LEVEL,,JOB_GROUP,PREVYR_1,PREVYR_2,PREVYR_3,PREVYR_4,PREVYR_5,STATUS,TERMINATION_YEAR
5766617533,187758,97,2,1,August,FALSE,N,N,2,Y,N,LEVEL 3,,IT Technologies and Infrstrctr,3,3,2,2,2,A,na
3023883423,109163,57,1,1,February,FALSE,N,N,2,N,N,LEVEL 5,,Finance,3,3,2,3,0,A,na
5496425873,85139,46,1,1,May,TRUE,N,Y,5,N,N,LEVEL 1,,Human Resources,0,0,0,0,0,T,2006
6812908601,136598,74,2,1,November,FALSE,N,N,1,N,N,LEVEL 4,,R&I Evaluation,2,2,2,3,3,A,na
7914311446,233150,156,3,3,May,FALSE,N,N,4,N,N,LEVEL 2,,Marketing - Direct,0,0,0,0,0,T,2005
1758398346,124158,69,4,3,November,FALSE,N,N,5,N,Y,LEVEL 2,,Physical Flows,3,3,3,2,2,T,2016
1238799137,70215,42,2,1,January,FALSE,N,N,2,N,N,LEVEL 1,,General Administration,1,2,1,2,0,A,na
4976508476,332735,167,4,2,January,FALSE,N,N,3,N,N,LEVEL 3,,Human Resources,1,2,1,2,1,A,na
2435628566,108713,59,3,3+,September,FALSE,Y,Y,1,N,N,LEVEL 1,,Industrial Quality,2,2,2,2,2,A,na
8368056799,163908,84,1,1,August,TRUE,N,N,5,N,N,LEVEL 5,,Marketing - Direct,2,2,2,2,2,A,na
4097637659,198290,103,2,0,February,FALSE,N,N,3,N,N,LEVEL 1,,Promotional Purchasing,2,2,1,1,1,A,na
2648383278,260963,135,3,3+,February,FALSE,N,Y,4,N,N,LEVEL 2,,Finance,2,2,2,2,0,A,na
7212373108,175622,92,4,2,November,FALSE,N,N,1,Y,N,LEVEL 5,,Supply Chain Administration,3,2,2,2,2,A,na
2324096346,54060,30,4,2,June,FALSE,N,N,5,N,N,LEVEL 1,,Production & Operations,0,0,0,0,0,A,na
7895011561,200546,104,2,1,January,FALSE,N,N,1,N,Y,LEVEL 3,,Creative Service/Copy,0,0,0,0,0,T,2005
7899144552,160763,84,4,2,August,FALSE,N,N,4,N,Y,LEVEL 3,,Digital,3,2,3,2,2,A,na
4140157244,107434,57,5,3,May,FALSE,N,N,2,N,N,LEVEL 1,,Marketing - Direct,0,0,0,0,0,T,2007
4138348484,116913,66,4,3,January,FALSE,N,N,2,N,N,LEVEL 2,,Human Resources,2,0,0,0,0,T,2008
6049083859,73519,40,2,1,March,TRUE,N,Y,4,N,N,LEVEL 3,,Marketing Support/Services,0,0,0,0,0,T,2006
7645077229,189564,99,1,0,June,FALSE,N,N,3,N,Y,LEVEL 3,,Corporate Supply Chain,2,2,2,2,2,A,na
2701836078,178036,93,5,2,August,TRUE,N,N,5,N,N,LEVEL 2,,IT Governance and Management,2,2,2,2,2,A,na
8759360744,123686,68,3,3,February,FALSE,Y,N,1,N,N,LEVEL 1,,Flows & Sub-Contracting,3,3,3,2,2,A,na
1132002824,195962,102,5,2,October,FALSE,N,N,4,N,N,LEVEL 1,,Human Resources,2,2,2,2,1,A,na
7960936761,370895,185,1,1,December,FALSE,N,Y,3,N,N,LEVEL 1,,General Management,0,0,2,2,0,A,na
4098470327,142737,74,2,0,January,FALSE,N,N,5,N,N,LEVEL 3,,Human Resources,2,2,1,1,1,A,na
5900794533,56425,30,2,1,August,FALSE,N,N,4,N,N,LEVEL 4,,Physical Flows,2,2,2,2,2,A,na
1142734875,163660,86,2,0,June,FALSE,N,N,5,N,N,LEVEL 2,,Supply Chain Administration,0,3,2,2,2,A,na
7022839739,68458,40,2,1,April,FALSE,N,Y,3,Y,Y,LEVEL 3,,Production & Operations,3,3,3,3,3,A,na
5891506986,39499,24,5,3+,April,TRUE,N,N,5,N,N,LEVEL 2,,Production & Operations,0,0,0,0,0,T,2008
8260151246,48178,29,4,3,October,FALSE,N,N,2,Y,N,LEVEL 2,,Production & Operations,0,0,0,0,0,T,2007
4309800149,56193,32,2,0,December,FALSE,N,Y,3,N,N,LEVEL 3,,Production & Operations,0,0,0,0,0,A,na
4570382823,53720,33,1,0,April,TRUE,N,N,5,N,N,LEVEL 3,,Production & Operations,0,0,0,0,0,A,na
3833645860,44525,27,5,2,January,FALSE,N,N,5,N,N,LEVEL 3,,Production & Operations,0,0,0,0,0,A,na
5774846262,31392,21,4,3+,December,FALSE,N,N,1,N,Y,LEVEL 2,,Production & Operations,0,0,0,0,0,T,2008
4920737853,60456,37,2,0,January,FALSE,N,N,5,N,N,LEVEL 4,,Production & Operations,2,0,0,0,0,A,na
2192954998,42836,26,4,2,April,FALSE,N,N,1,N,Y,LEVEL 3,,Production & Operations,0,0,0,0,0,T,2007
8822599354,182858,92,4,3+,December,FALSE,N,N,1,N,Y,LEVEL 1,,Tax,2,2,2,2,2,A,na
9074328166,165550,86,3,2,February,FALSE,N,Y,2,N,N,LEVEL 3,,Creative Service/Copy,2,2,2,2,0,A,na
2102991100,44353,30,3,3,September,FALSE,N,N,1,N,N,LEVEL 3,,Production & Operations,0,0,0,0,0,A,na
7700722341,64681,36,2,1,November,FALSE,N,N,2,N,N,LEVEL 1,,Finance,0,0,0,0,0,T,2005
2678719151,97771,53,1,1,January,FALSE,N,N,4,N,N,LEVEL 1,,R&I Development/Pre-Develpmnt,2,2,2,3,2,A,na
4410500912,109978,60,3,3+,August,FALSE,N,N,5,N,N,LEVEL 1,,R&I Evaluation,3,3,2,2,2,A,na
2794104161,46281,25,2,0,April,FALSE,N,Y,5,N,N,LEVEL 1,,Production & Operations,0,0,0,0,0,A,na
7524712821,46896,27,2,1,December,FALSE,N,Y,2,N,N,LEVEL 2,,Production & Operations,0,0,0,0,0,A,na
2362169366,44596,27,3,3,September,FALSE,Y,N,2,N,Y,LEVEL 1,,Production & Operations,0,0,0,0,0,A,na
8053981394,32448,19,5,2,August,FALSE,N,N,3,N,N,LEVEL 2,,Production & Operations,0,0,0,0,0,T,2009
8957577086,43128,26,4,3,June,TRUE,N,N,5,N,N,LEVEL 1,,Production & Operations,0,0,0,0,0,A,na
8161107673,36393,28,1,1,September,FALSE,N,Y,3,N,Y,LEVEL 1,,Production & Operations,0,0,0,0,0,T,2008
3557462600,41782,25,4,3,March,FALSE,N,N,5,N,N,LEVEL 3,,Production & Operations,0,0,0,0,0,A,na
6049408898,42663,28,4,3,February,FALSE,N,N,3,Y,N,LEVEL 3,,Industrial Quality,0,0,0,3,0,T,2017
5728533036,41572,27,3,3,May,FALSE,N,N,5,N,N,LEVEL 3,,Production & Operations,0,0,0,0,0,A,na
7540962061,60871,37,1,1,March,FALSE,N,Y,5,N,N,LEVEL 3,,Logistics - Manufacturing,0,0,0,0,0,T,2007
2141218002,53135,29,4,2,July,FALSE,Y,N,4,N,N,LEVEL 1,,Industrial Quality,0,0,0,2,0,A,na
8330310953,61251,39,1,1,October,FALSE,N,N,3,N,N,LEVEL 4,,Production & Operations,0,0,0,0,0,A,na
6766482619,36629,23,2,1,July,FALSE,N,N,2,N,N,LEVEL 4,,Customer Care,0,0,0,0,0,T,2009
6174541887,36886,25,1,1,June,FALSE,N,N,1,N,N,LEVEL 3,,Customer Care,0,0,0,0,0,T,2009
2946175293,152295,78,1,1,November,FALSE,N,N,5,N,N,LEVEL 4,,Marketing - Direct,2,2,2,0,0,T,2010
5719148246,62332,39,4,3+,June,FALSE,N,N,2,N,N,LEVEL 3,,General Administration,3,3,2,2,2,A,na
8495494697,44327,29,2,0,April,FALSE,N,Y,5,N,N,LEVEL 5,,Production & Operations,0,0,0,0,0,A,na
2075366295,128560,70,2,0,March,TRUE,N,Y,4,N,N,LEVEL 2,,Finance,0,3,3,2,2,T,2014
7127651085,119092,65,1,1,November,FALSE,N,N,2,N,N,LEVEL 5,,R&I General Management,0,0,0,0,0,T,2006
2527947908,179084,96,3,3+,March,FALSE,N,N,2,N,Y,LEVEL 4,,R&I General Management,3,3,3,3,2,A,na
3169768920,77199,44,4,3+,May,FALSE,N,N,1,Y,N,LEVEL 2,,R&I Development/Pre-Develpmnt,2,2,2,3,3,A,na
3861626756,111605,61,3,3+,July,FALSE,N,N,5,N,N,LEVEL 2,,R&I Development/Pre-Develpmnt,2,2,3,3,3,A,na
2920546791,87380,49,2,0,January,FALSE,N,N,1,N,N,LEVEL 1,,R&I Development/Pre-Develpmnt,3,4,4,3,3,A,na
2873254336,138073,73,4,2,February,FALSE,Y,Y,2,N,N,LEVEL 1,,R&I Development/Pre-Develpmnt,3,3,2,2,2,A,na
5029698709,311968,158,1,0,November,FALSE,N,N,2,N,N,LEVEL 4,,General Management,0,2,0,0,0,A,na
8084299303,99590,57,1,1,January,FALSE,N,N,1,N,N,LEVEL 4,,R&I Development/Pre-Develpmnt,3,4,4,2,2,A,na
9166402450,37117,26,3,3+,February,FALSE,Y,N,5,N,N,LEVEL 1,,Customer Care,0,0,0,0,0,T,2009
4911765482,123821,69,3,2,December,FALSE,N,N,4,N,N,LEVEL 1,,IT Governance and Management,2,2,3,3,3,A,na
7558851001,38136,26,1,1,January,TRUE,N,N,2,N,N,LEVEL 5,,Customer Care,0,0,0,0,0,T,2012
6335228460,38098,24,4,3+,March,FALSE,N,N,2,N,N,LEVEL 1,,Customer Care,0,0,0,0,0,T,2009
6427599498,102686,54,4,2,April,FALSE,N,N,2,N,N,LEVEL 3,,Physical Flows,3,3,2,0,2,A,na
5092647821,214206,111,1,1,June,TRUE,N,N,3,N,N,LEVEL 3,,Customer Care,2,2,2,1,2,A,na
5188696064,37489,24,5,3+,February,FALSE,N,N,2,N,N,LEVEL 1,,Customer Care,0,0,0,0,0,T,2009
7805059806,37452,23,3,3+,January,FALSE,N,N,1,N,N,LEVEL 2,,Customer Care,0,0,0,0,0,T,2009
8088762387,49314,32,2,1,June,FALSE,N,N,1,N,N,LEVEL 3,,Physical Flows,0,0,0,2,2,A,na
6777322326,37629,24,5,3+,September,FALSE,N,N,4,N,N,LEVEL 1,,Customer Care,0,0,0,0,0,T,2009
2268036973,31793,25,2,0,September,TRUE,N,N,5,N,N,LEVEL 5,,Distribution/Administration,0,0,0,0,0,T,2007
1250956284,45333,29,4,3+,November,FALSE,N,N,3,N,N,LEVEL 3,,Customer Care,1,2,0,0,0,T,2009
9191025851,37673,25,1,1,May,FALSE,N,N,5,N,N,LEVEL 5,,Customer Care,0,0,0,0,0,T,2009
4924675619,27857,20,2,0,March,FALSE,N,N,2,N,N,LEVEL 1,,Distribution/Administration,0,0,0,0,0,T,2005
5470365083,37634,28,2,1,July,FALSE,N,N,2,Y,N,LEVEL 3,,Customer Care,0,0,0,0,0,T,2009
6035723028,37573,24,3,2,September,FALSE,N,N,1,N,N,LEVEL 3,,Customer Care,0,0,0,0,0,T,2009
1745953387,43878,28,2,1,November,FALSE,N,N,3,N,N,LEVEL 1,,Physical Flows,0,0,0,0,0,A,na
8868847595,43614,27,2,1,August,FALSE,N,N,4,N,N,LEVEL 1,,Physical Flows,0,0,0,0,0,A,na
9638787343,37143,28,1,0,March,FALSE,N,N,3,N,N,LEVEL 3,,Customer Care,0,0,0,0,0,T,2009
1350322564,42461,26,3,3,October,FALSE,N,N,2,N,N,LEVEL 1,,Physical Flows,0,0,0,0,0,A,na
3610365054,37450,27,3,3+,August,FALSE,N,Y,5,Y,N,LEVEL 1,,Customer Care,0,0,0,0,0,T,2009
4276337956,51159,35,3,2,March,TRUE,N,N,2,N,N,LEVEL 2,,Customer Care,2,2,0,0,0,T,2009
6111449199,41689,26,2,0,September,FALSE,N,N,5,N,N,LEVEL 4,,Physical Flows,0,0,0,0,0,A,na
8644575745,32352,21,2,0,March,FALSE,N,N,2,N,N,LEVEL 5,,Distribution/Administration,0,0,0,0,0,T,2011
9219405442,31731,20,5,3,December,FALSE,N,Y,3,N,N,LEVEL 1,,Distribution/Administration,0,0,0,0,0,T,2005
6198636817,36544,22,1,0,December,FALSE,N,N,5,N,N,LEVEL 2,,Customer Care,0,0,0,0,0,T,2009
8009808895,63887,40,1,1,March,FALSE,N,N,2,N,N,LEVEL 1,,Physical Flows,2,2,2,2,3,A,na
3081761408,40579,27,4,2,September,FALSE,N,N,2,N,N,LEVEL 1,,Physical Flows,2,2,0,0,0,T,2014
2586377625,51110,33,1,0,July,FALSE,N,N,4,N,N,LEVEL 1,,Physical Flows,0,0,0,2,2,A,na
5013500293,40646,24,2,1,August,FALSE,N,N,4,N,N,LEVEL 3,,Physical Flows,0,0,0,0,0,T,2014
7436413274,36640,27,4,3,February,FALSE,N,Y,5,N,N,LEVEL 2,,Customer Care,0,0,0,0,0,T,2009
8231468661,37314,23,1,0,June,FALSE,N,N,5,N,N,LEVEL 3,,Customer Care,0,0,0,0,0,T,2009
7593824661,37308,24,2,1,March,FALSE,N,N,1,N,N,LEVEL 3,,Customer Care,0,0,0,0,0,T,2009
1217858457,30574,21,1,1,February,FALSE,N,Y,3,N,N,LEVEL 2,,Distribution/Administration,0,0,0,0,0,T,2008
3441112232,36261,28,4,3+,July,FALSE,Y,N,2,N,Y,LEVEL 1,,Customer Care,0,0,0,0,0,T,2009
5448033836,39935,24,3,3+,January,FALSE,N,N,2,Y,N,LEVEL 1,,Customer Care,0,0,0,0,0,T,2009
7821016670,25566,18,4,3,July,FALSE,N,N,1,N,N,LEVEL 4,,Production & Operations,0,0,0,0,0,T,2007
3086265926,42719,28,3,2,July,FALSE,Y,N,2,N,N,LEVEL 1,,Physical Flows,0,0,0,0,0,A,na
4224995126,36517,25,5,2,April,FALSE,N,N,4,N,N,LEVEL 5,,Customer Care,0,0,0,0,0,T,2009
7607519694,47021,28,4,2,April,FALSE,N,N,4,N,N,LEVEL 1,,Physical Flows,0,0,0,0,0,T,2014
9565723942,40186,26,5,3,July,FALSE,Y,N,5,N,N,LEVEL 1,,Physical Flows,0,0,0,0,0,A,na
3018588327,37466,24,1,0,April,FALSE,N,Y,3,N,N,LEVEL 2,,Customer Care,0,0,0,0,0,T,2009
9029582291,37159,25,1,0,March,FALSE,N,Y,5,N,N,LEVEL 5,,Customer Care,0,0,0,0,0,T,2009
8785468915,36118,25,2,1,January,FALSE,N,Y,4,N,N,LEVEL 5,,Customer Care,0,0,0,0,0,T,2009
3869426075,37102,24,2,1,January,FALSE,N,N,2,Y,Y,LEVEL 1,,Customer Care,0,0,0,0,0,T,2009
2312247114,38415,21,4,2,October,FALSE,N,N,2,N,N,LEVEL 1,,Physical Flows,0,0,0,0,0,T,2012
1780937820,46704,28,4,3,September,FALSE,N,N,5,N,Y,LEVEL 4,,Physical Flows,2,2,1,2,0,T,2014
2976235003,45604,32,1,0,December,FALSE,N,N,2,N,N,LEVEL 4,,Physical Flows,0,0,0,0,0,A,na
7138796090,38994,25,5,3,December,FALSE,Y,N,4,N,N,LEVEL 1,,Physical Flows,0,0,0,0,0,T,2012
1348124068,40532,26,5,3,November,FALSE,N,N,4,N,N,LEVEL 2,,Finance,0,0,0,0,0,T,2008
8751994467,37050,25,1,1,April,FALSE,N,N,3,N,N,LEVEL 4,,Customer Care,0,0,0,0,0,T,2009
7546951681,37203,23,2,0,June,FALSE,N,N,4,N,N,LEVEL 1,,Customer Care,0,0,0,0,0,T,2009
9095212124,41481,28,5,3+,October,FALSE,N,N,5,N,N,LEVEL 2,,Production & Operations,0,0,0,0,0,A,na
1225065066,30707,21,5,3,November,FALSE,N,N,2,N,N,LEVEL 4,,Distribution/Administration,0,0,0,0,0,T,2007
5318978243,74498,41,2,0,November,FALSE,N,Y,2,N,N,LEVEL 3,,Distribution/Administration,3,0,0,0,0,T,2008
3209398008,83161,45,3,3,October,FALSE,N,N,3,N,N,LEVEL 3,,Physical Flows,3,2,2,2,2,A,na
1023800964,43325,27,4,2,March,TRUE,N,N,1,Y,Y,LEVEL 1,,Production & Operations,0,0,0,0,0,T,2015
2741309706,98159,54,3,3,July,FALSE,N,N,4,N,N,LEVEL 3,,Engineering,0,0,0,0,0,T,2005
7836802336,58276,35,5,3,October,FALSE,N,Y,1,N,N,LEVEL 2,,Production & Operations,0,0,0,0,0,A,na
3480326488,235349,117,5,3+,December,FALSE,N,N,3,N,N,LEVEL 4,,IT Business Applications,2,2,1,2,1,T,2017
6924618688,304675,152,5,3+,January,FALSE,Y,N,2,N,N,LEVEL 1,,General Management,3,0,0,0,0,A,na
3855099694,199907,101,3,3,March,FALSE,N,N,5,N,N,LEVEL 1,,Finance,3,0,3,2,2,A,na
2942185360,159651,82,4,2,July,FALSE,N,N,5,N,N,LEVEL 2,,Marketing - Direct,0,0,0,0,0,T,2007
5489129549,210841,106,1,1,March,FALSE,N,Y,3,N,N,LEVEL 5,,Finance,2,3,3,3,3,A,na
3036778930,179427,95,5,3,September,FALSE,N,N,1,N,N,LEVEL 3,,Promotional Purchasing,2,2,2,2,2,A,na
3705421903,131884,71,2,1,November,FALSE,N,N,1,N,Y,LEVEL 4,,Creative Service/Copy,2,3,3,3,2,A,na
7825870327,140664,76,2,1,November,TRUE,N,N,2,N,N,LEVEL 1,,Marketing - Direct,0,0,0,0,0,T,2006
6363936953,700809,346,2,0,August,TRUE,N,N,5,N,N,LEVEL 4,,General Management,2,0,0,0,0,A,na
2637509250,220952,115,5,3+,January,FALSE,N,N,2,N,Y,LEVEL 2,,Public Relations,2,0,3,0,0,A,na
8887209311,137012,75,1,1,January,FALSE,N,N,2,N,N,LEVEL 1,,Technical Packaging,3,3,3,3,2,T,2014
7003370355,189195,100,1,1,May,FALSE,N,Y,5,N,N,LEVEL 5,,Package Development,2,2,2,2,2,A,na
2706426362,154452,79,5,3+,November,FALSE,N,N,3,N,N,LEVEL 4,,Technical Packaging,3,3,2,3,3,A,na
6878390408,151034,78,4,3+,August,FALSE,N,N,4,N,N,LEVEL 1,,IT Business Applications,3,2,2,2,2,A,na
5357763430,119497,65,3,3+,September,FALSE,Y,Y,4,N,N,LEVEL 1,,Production & Operations,0,0,0,0,0,T,2005
5587092908,201070,102,5,3+,September,FALSE,N,N,4,N,N,LEVEL 1,,IT Technologies and Infrstrctr,2,2,2,2,2,A,na
1098844052,30112,23,5,2,September,FALSE,N,N,3,N,N,LEVEL 1,,Production & Operations,0,0,0,0,0,T,2005
